,QN08,BX28,QN55,BK50,BX41,QN26,BK68,QN38,QN52,BK44,QN01,BX98,QN07,QN48,BK77,BK41,BK75,QN33,QN44,MN06,BX07,QN62,SI11,QN15,SI08,BX10,BX33,QN37,BK81,QN35,SI37,QN23,QN12,QN46,QN50,BK91,BK95,QN66,QN41,BK09,QN54,SI12,SI28,BX43,BK64,BX55,BK63,SI14,BX06,BK21,BK26,BX22,QN19,BK34,BX03,BX31,QN17,BX29,BX30,BK27,BX05,QN22,QN51,QN02,QN76,BX35,QN28,QN63,BK88,MN19,QN43,QN61,MN04,MN50,BK58,BK96,BK90,BX59,QN10,BK17,BX26,SI45,SI36,MN36,MN34,MN27,MN21,MN31,MN40,MN33,BK33,BK61,BK69,QN25,BK30,BK31,BX01,BX40,BX09,BX49,BK43,BK46,SI99,MN09,MN11,MN17,MN32,QN71,QN98,BK25,BK28,BK29,QN03,QN05,SI24,BX62,BX52,QN68,QN56,QN57,MN12,MN14,QN70,QN72,BX44,BX17,BX36,QN20,QN21,BX14,BK42,QN27,SI01,SI32,BK19,BK23,SI25,SI54,MN13,MN15,BK72,SI05,SI48,BX75,MN24,MN25,BX08,MN03,MN99,QN45,QN06,BK32,BK37,QN34,QN42,BX37,BX46,QN30,QN31,QN18,QN29,BK38,BK35,BK78,BX27,BK83,QN53,BK60,BX34,BX39,BX63,SI35,SI07,SI22,BK79,BK85,BK76,MN20,MN22,MN23,MN01,MN35,QN47,QN49,QN60,QN99,BX13,BX99,BK45,BK82,BK93,BK73,MN28,BK40,BK99
161 South 2nd Street,1705.03,2104.97,1401.41,1303.56,1984.76,1169.97,485.54,1416.1,1468.58,1501.05,1594.57,1830.69,1833.81,1503.32,632.32,1172.69,518.14,1924.37,1944.5,1701.51,2251.52,1309.18,2888.93,2530.18,1958.25,2120.56,1730.32,1404.39,930.56,1401.35,1947.69,1533.63,2434.78,1663.26,800.05,1242.72,1064.5,2066.62,1436.38,783.28,1301.66,2203.45,1931.1,2239.43,636.02,1908.72,871.65,1697.99,2171.65,1887.26,1658.34,2215.22,894.68,1213.76,2334.41,2217.52,1181.18,2105.97,2019.19,1593.74,2128.09,1330.14,1518.21,1683.7,1503.07,1874.2,961.39,901.46,1329.83,948.34,1850.46,1528.77,1734.28,705.92,1322.25,1115.65,402.78,1973.19,2118.92,1654.74,1749.56,2366.2,2274.75,1853.67,1506.46,516.13,708.34,994.65,1100.06,1294.95,945.77,790.97,590.53,1139.45,1409.77,1411.98,1975.45,1993.05,1950.11,2078.78,1373.19,1410.19,2867.58,1579.48,1509.74,925.6,1181.51,1029.29,1644.52,1556.07,1461.95,1565.54,1802.97,1963.84,2309.02,2398.29,1873.38,769.9,1331.13,1464.13,1360.94,1207.95,1032.5,1180.71,2401.8,1937.83,1868.58,748.44,894.47,1842.62,1119.52,1159.31,3033.53,2777.36,1791.03,1670.82,2561.98,2724.16,1078.58,1065.74,324.36,2267.58,2860.5,1858.07,669.39,817.27,1841.12,1625.43,1237.47,1804.09,1465.07,1110.7,874.46,1685.11,1580.78,2076.54,2053.37,689.9,686.2,1047.06,898.58,626.08,675.71,554.81,1689.86,956.69,1128.71,926.78,1744.31,1555.36,1697.94,2268.94,2094.03,2251.24,778.1,996.32,427.18,864.05,638.1,818.83,1951.16,1832.99,1655.9,1543.92,1219.21,1363.25,2337.04,2279.82,1577.98,1222.42,1342.0,155.89,535.26,998.16,1472.91
187 Union Ave.,1600.85,2115.84,1184.64,1086.78,1995.63,1110.31,323.13,1325.56,1402.84,1286.59,1399.86,1780.46,1665.38,1437.58,415.54,1010.28,277.5,1794.05,1857.5,1687.81,2201.29,1243.44,2907.72,2399.4,1816.75,2060.91,1680.09,1247.37,713.78,1266.92,1806.19,1473.97,2218.0,1597.52,740.39,1028.26,869.93,1884.28,1370.64,620.87,1084.88,2222.25,1949.9,2250.3,473.61,1858.49,657.19,1556.49,2121.42,1724.85,1495.93,2234.02,677.9,1051.35,2274.75,2157.86,1070.46,2116.84,2030.06,1431.33,2138.96,1270.48,1458.55,1579.52,1398.89,1823.97,901.73,841.81,1167.42,961.37,1784.72,1325.92,1753.07,724.72,1107.79,901.18,311.7,1913.54,1902.14,1440.28,1760.43,2224.7,2133.25,1867.97,1492.76,524.4,727.13,1000.59,1086.36,1281.25,804.27,576.51,374.99,1073.71,1268.27,1263.08,1942.09,2003.92,1899.88,2019.12,1210.78,1247.78,2726.08,1575.34,1496.04,938.64,1187.45,1042.32,1531.67,1393.66,1299.54,1403.12,1632.83,1796.39,2167.52,2409.17,1813.72,782.94,1114.35,1247.35,1373.97,1220.98,989.82,1121.05,2342.14,1887.6,1879.45,637.72,783.75,1853.49,957.11,1099.65,3022.98,2796.16,1628.62,1508.41,2420.48,2582.66,1097.38,1078.77,162.38,2286.37,2865.2,1807.84,688.19,827.72,1790.89,1644.22,1223.77,1738.35,1330.64,969.2,712.05,1619.37,1515.04,2016.88,1993.81,579.18,626.55,936.34,823.51,463.67,432.95,338.03,1639.64,739.92,911.94,712.32,1694.08,1505.13,1708.81,2127.44,1952.53,2127.37,561.32,779.55,406.1,882.85,656.9,837.63,1969.96,1851.79,1596.24,1484.26,1071.63,1146.47,2277.38,2220.17,1363.52,1005.64,1125.23,210.13,554.06,835.75,1258.45
205 Greenpoint Ave.,1545.85,1774.11,1296.09,1400.22,1653.9,977.31,624.65,1256.91,1290.0,1640.16,1435.39,1469.69,1674.63,1344.14,726.06,1311.8,666.45,1765.19,1785.32,1340.51,1890.52,1149.99,3075.27,2370.99,2097.35,1921.25,1369.31,1245.21,1027.22,1242.17,2086.8,1370.38,2518.29,1504.08,685.67,1381.83,1203.61,1907.44,1277.19,922.39,1290.67,2414.23,2141.87,1908.57,775.13,1547.72,1010.76,1837.09,1810.65,2026.37,1797.45,1884.36,886.03,1352.87,2135.1,1980.42,1026.17,1775.11,1688.33,1732.85,1797.23,1137.48,1325.55,1524.52,1343.89,1513.19,834.93,662.74,1468.94,587.33,1691.28,1376.85,1403.42,720.63,1461.36,1243.94,472.97,1676.77,2215.58,1793.85,1418.7,2505.31,2413.85,1493.93,1145.45,726.9,669.95,633.65,739.06,933.95,1084.88,930.08,729.64,980.27,1548.88,1551.09,1631.32,1662.19,1589.1,1841.68,1512.3,1549.3,3006.69,1218.48,1148.73,564.6,820.51,668.28,1485.34,1695.18,1601.06,1704.64,1643.78,1804.66,2448.13,2067.44,1706.28,408.9,1376.82,1547.64,999.93,846.95,671.5,819.88,2082.3,1576.82,1537.72,736.22,863.82,1511.76,1258.63,1010.3,3226.34,2970.18,1930.14,1809.93,2701.08,2863.27,854.38,704.73,463.47,2478.35,3053.32,1497.07,880.16,1028.04,1480.11,1294.57,876.47,1644.91,1305.89,1249.81,1013.57,1525.93,1421.6,1839.44,1692.37,537.77,308.22,892.99,777.08,765.19,772.37,651.47,1328.86,1000.82,1144.43,1065.89,1383.31,1194.36,1367.08,2408.05,2233.14,2407.98,874.76,1092.99,68.75,519.91,845.99,887.03,1620.3,1502.13,1492.65,1380.67,1198.43,1360.13,2137.73,2042.72,1698.8,1319.08,1438.67,366.9,746.03,1137.27,1600.07
75 Richardson Street,1526.76,1997.22,1277.0,1207.42,1877.02,991.7,465.91,1237.82,1290.31,1472.55,1416.3,1661.85,1655.54,1325.05,536.17,1153.06,463.47,1746.1,1766.23,1569.2,2082.68,1130.91,2930.71,2351.9,1938.61,1942.29,1561.47,1226.12,834.41,1223.08,1928.06,1355.36,2338.64,1484.99,621.78,1214.22,1044.87,1888.35,1258.1,763.65,1205.52,2245.24,1972.88,2131.68,616.39,1739.88,843.15,1678.35,2002.81,1867.63,1638.71,2132.69,798.54,1194.13,2156.14,2039.25,1007.09,1998.22,1911.45,1574.11,2020.35,1151.87,1339.94,1505.43,1324.8,1705.35,783.12,723.19,1310.2,839.56,1672.19,1357.76,1648.17,747.71,1293.76,1051.13,306.64,1794.92,2022.78,1626.25,1641.82,2346.57,2255.11,1746.16,1374.14,557.91,750.12,881.98,967.75,1162.64,926.14,762.47,560.95,961.18,1390.14,1392.35,1823.48,1885.3,1781.27,1900.51,1353.56,1390.56,2847.95,1456.73,1377.42,816.83,1068.84,920.51,1466.25,1536.44,1442.32,1545.9,1624.69,1785.57,2289.39,2290.55,1695.11,661.12,1234.99,1367.99,1252.16,1099.17,871.21,1002.44,2223.53,1768.98,1760.83,652.29,798.33,1734.88,1099.89,981.04,3075.31,2819.15,1771.4,1651.19,2542.34,2704.53,1106.61,956.96,304.73,2309.36,2902.28,1689.23,711.17,859.05,1672.27,1542.9,1105.16,1625.82,1286.8,1091.07,854.83,1506.84,1402.51,1898.27,1875.2,536.59,507.93,873.9,720.31,606.45,579.57,458.67,1521.02,860.55,1032.57,898.29,1575.47,1386.52,1590.19,2249.31,2074.4,2249.24,681.96,900.18,284.29,772.14,679.88,860.61,1868.63,1750.46,1477.63,1365.65,1123.07,1267.11,2158.77,2101.55,1505.99,1126.28,1245.86,184.51,577.05,978.53,1407.27
1201 Grand Street,1329.22,1946.93,1019.58,1130.33,1826.72,834.16,613.74,1040.29,1092.77,1560.79,1211.07,1611.56,1458.0,1127.51,349.05,1300.88,568.11,1548.56,1568.69,1561.82,1949.21,933.37,3092.03,2154.36,2099.94,1802.15,1511.18,1028.58,757.32,1025.54,2089.38,1215.21,2138.88,1287.45,460.14,1199.12,1160.54,1690.81,1060.56,911.47,919.82,2406.56,2134.21,2081.39,764.22,1689.58,947.79,1839.68,1952.51,2015.46,1786.53,2101.91,514.26,1341.95,2015.99,1899.1,789.54,1947.93,1861.16,1721.94,1970.06,994.33,1182.4,1307.89,1127.26,1655.06,732.82,618.41,1458.03,861.62,1474.65,1137.14,1630.43,909.03,1257.78,974.04,257.91,1654.78,1942.95,1695.74,1591.52,2507.9,2416.44,1749.82,1366.77,719.24,911.45,874.6,960.37,1155.26,1087.47,867.11,665.59,763.64,1551.46,1553.68,1773.18,1835.01,1730.97,1760.36,1501.38,1538.38,3009.28,1449.35,1370.05,838.88,1061.46,911.47,1268.71,1684.27,1590.15,1693.73,1427.16,1588.03,2450.72,2165.72,1554.96,777.47,997.41,1168.23,1261.11,1117.46,797.49,952.14,2083.38,1718.69,1710.54,356.8,502.84,1684.58,1247.72,867.14,3236.64,2980.48,1893.26,1799.01,2703.67,2865.85,1128.67,979.02,452.98,2470.69,3063.61,1638.94,872.5,1020.38,1621.98,1521.58,1097.78,1428.28,1089.27,1252.4,1002.66,1309.3,1204.97,1758.12,1735.05,269.11,456.4,635.33,513.44,754.28,557.3,436.4,1470.73,621.41,765.02,1002.93,1525.17,1336.22,1539.9,2410.64,2235.72,2410.56,604.87,765.63,432.15,794.2,841.21,1021.94,1843.06,1729.15,1337.48,1225.5,827.58,990.85,2018.62,1961.41,1428.9,991.73,1119.86,345.84,738.37,1126.35,1330.18
43 Morgan Ave.,1412.65,2142.16,996.43,996.72,2021.96,1029.39,493.95,1137.35,1288.0,1427.18,1211.65,1806.79,1477.17,1322.75,250.36,1181.09,399.88,1605.84,1669.3,1748.97,2144.45,1128.6,3137.27,2274.3,1987.56,1997.38,1706.41,1059.16,623.72,1078.71,1977.01,1410.44,2097.58,1482.69,655.37,1065.51,1040.75,1763.86,1249.83,791.69,896.67,2451.8,2179.45,2276.62,644.43,1884.82,828.01,1727.31,2147.75,1895.67,1666.74,2297.14,489.69,1222.17,2211.22,2094.33,892.07,2143.16,2056.39,1602.15,2165.29,1189.56,1377.63,1391.31,1210.69,1850.29,928.06,813.65,1338.24,1048.76,1660.41,1137.71,1825.66,954.27,1124.17,840.43,378.78,1850.01,1812.08,1564.87,1786.76,2395.52,2304.06,1945.05,1553.91,695.22,956.68,1061.75,1147.52,1342.41,975.09,706.51,545.8,958.88,1439.09,1433.9,1968.42,2030.24,1926.2,1955.6,1381.59,1418.59,2896.9,1636.5,1557.19,1026.03,1248.6,1123.12,1388.65,1564.48,1470.36,1573.94,1512.42,1675.98,2338.34,2360.96,1750.2,967.97,956.11,1126.94,1448.25,1304.6,1044.58,1147.38,2278.62,1913.92,1905.77,455.27,605.37,1879.82,1127.93,1062.38,3193.8,3025.71,1762.39,1679.22,2591.29,2753.48,1315.81,1166.16,367.76,2515.93,3036.01,1834.17,912.37,998.53,1817.21,1716.81,1284.93,1623.51,1142.43,1140.02,882.87,1443.01,1400.21,1953.35,1930.29,464.34,687.7,757.96,708.67,634.49,368.86,247.97,1665.96,580.12,723.73,883.14,1720.41,1531.46,1735.13,2298.26,2123.35,2298.19,471.26,689.48,567.02,981.34,886.45,1067.18,2038.3,1924.38,1532.72,1420.74,883.42,958.26,2213.86,2156.64,1295.29,915.58,1035.16,430.03,783.61,1006.56,1196.57
650 Hart Street,1370.82,2215.28,954.6,928.99,2095.08,1172.7,502.86,1095.53,1412.95,1359.45,1169.82,1879.91,1435.34,1378.58,185.51,1190.01,338.32,1564.02,1627.47,1787.25,2173.12,1255.57,3169.63,2232.48,2019.92,2026.06,1779.53,1017.33,555.98,1036.89,2009.36,1439.12,2055.76,1518.06,798.68,997.78,991.74,1722.04,1208.0,824.04,854.85,2484.16,2211.8,2349.74,653.35,1957.93,779.0,1759.66,2220.87,1904.58,1675.66,2350.75,447.87,1231.08,2239.9,2123.01,864.02,2216.28,2129.51,1611.06,2238.41,1227.8,1409.39,1349.49,1168.86,1923.41,1001.17,941.25,1347.16,1087.05,1618.58,1095.89,1866.22,986.63,1056.44,772.7,411.14,1878.69,1744.35,1497.14,1859.87,2427.88,2336.42,1989.19,1592.2,727.57,989.04,1100.03,1185.8,1380.69,1007.45,644.95,496.8,1102.19,1467.52,1442.82,2041.53,2103.36,1962.64,1984.27,1362.81,1427.51,2929.26,1674.78,1595.48,1064.32,1286.89,1161.41,1346.82,1497.61,1479.27,1582.86,1470.59,1634.15,2370.7,2389.63,1778.88,1003.75,914.29,1085.11,1486.54,1342.89,1089.27,1220.49,2307.29,1987.04,1978.89,413.45,673.51,1952.93,1131.17,1199.1,3226.15,3058.07,1694.66,1688.14,2623.65,2785.83,1354.1,1204.45,400.12,2548.28,3068.37,1907.29,944.73,1030.89,1890.33,1760.95,1323.22,1697.17,1100.61,1159.38,891.78,1401.19,1441.68,1982.03,1958.96,607.65,725.99,826.1,851.98,648.2,307.31,108.0,1739.08,538.29,681.9,834.14,1793.52,1604.57,1808.25,2330.62,2155.7,2330.54,403.53,621.75,599.38,1019.63,918.81,1099.53,2086.69,1968.52,1561.39,1449.41,841.59,916.44,2242.53,2185.31,1227.56,847.85,967.43,462.39,815.97,1015.48,1128.84
392 Himrod Street,1247.34,2090.08,831.12,923.73,1969.88,977.31,667.87,972.05,1235.92,1354.2,1046.34,1754.71,1311.86,1255.1,97.29,1236.78,524.98,1440.54,1503.99,1745.89,2049.65,1076.52,3311.2,2109.0,2161.49,1902.58,1654.33,893.86,550.73,913.41,2150.93,1315.64,1932.28,1394.58,603.29,992.53,1036.76,1598.56,1084.53,965.61,731.37,2625.73,2353.37,2224.54,818.35,1832.73,926.76,1901.23,2095.67,1920.99,1696.13,2245.06,324.39,1396.09,2116.42,1999.53,740.54,2091.08,2004.31,1686.26,2113.21,1104.32,1285.91,1226.01,1045.38,1798.21,875.97,761.56,1422.35,1045.68,1495.1,972.41,1773.58,1128.19,1051.19,767.45,528.14,1755.21,1736.35,1489.14,1734.68,2569.45,2477.99,1892.97,1527.37,869.14,1128.29,1058.67,1144.44,1339.33,1149.02,739.03,683.46,906.8,1613.01,1607.82,1916.33,1978.16,1839.16,1860.8,1407.83,1492.65,3070.82,1633.42,1554.11,1022.95,1245.53,1118.9,1223.34,1492.35,1554.47,1611.18,1347.11,1510.68,2512.26,2266.15,1655.4,969.1,790.81,961.63,1445.17,1301.52,992.5,1095.3,2183.81,1861.84,1853.69,289.97,550.03,1827.73,1176.18,1010.3,3367.72,3199.64,1686.66,1704.54,2765.22,2927.4,1312.73,1163.08,541.68,2689.85,3209.94,1782.09,1086.3,1172.46,1765.13,1664.73,1281.85,1571.43,977.13,1313.94,1056.79,1277.71,1318.21,1858.55,1835.48,412.26,663.84,702.62,656.59,808.41,493.97,229.89,1613.88,414.82,558.42,1015.69,1668.32,1479.37,1683.05,2472.18,2297.27,2472.11,398.27,559.04,702.38,978.26,1060.37,1241.1,1986.22,1872.3,1437.92,1325.93,718.12,792.96,2119.05,2061.84,1222.31,785.13,913.27,603.96,957.53,1180.49,1123.58
582 Knickerbocker Ave.,1280.29,2205.8,864.07,922.1,2085.59,1093.02,637.75,1005.0,1322.42,1352.56,1079.29,1870.42,1344.81,1288.05,167.68,1235.15,473.2,1473.49,1536.94,1879.45,2082.59,1165.04,3304.51,2141.95,2154.81,1935.53,1770.05,926.8,549.09,946.36,2144.25,1348.59,1965.23,1427.53,719.01,990.89,1035.12,1631.51,1117.47,958.93,764.32,2619.04,2346.69,2340.26,788.23,1904.1,913.88,1894.55,2211.38,1919.35,1694.49,2360.77,357.34,1365.97,2149.37,2032.48,773.49,2206.8,2120.02,1684.62,2228.92,1137.27,1318.86,1258.96,1078.33,1913.93,991.69,895.43,1420.71,1196.48,1528.05,1005.36,1889.3,1121.51,1049.55,765.81,546.02,1788.16,1737.45,1490.25,1850.39,2562.76,2471.3,2008.69,1643.09,862.46,1123.93,1209.47,1295.24,1490.13,1142.33,737.4,631.68,1044.72,1602.41,1577.7,2002.99,2093.88,1872.11,1893.74,1406.19,1491.01,3064.14,1784.22,1704.91,1173.75,1396.32,1269.7,1256.29,1490.72,1552.83,1609.55,1380.06,1543.63,2505.58,2299.1,1688.35,1119.9,823.76,994.58,1595.97,1452.32,1139.77,1211.01,2216.76,1977.56,1969.41,322.92,582.98,1943.45,1174.55,1126.01,3361.04,3192.96,1687.76,1702.91,2758.54,2920.72,1463.53,1313.88,535.0,2683.17,3203.25,1897.8,1079.61,1165.78,1851.85,1780.45,1432.65,1606.65,1010.08,1294.26,1026.67,1310.66,1351.16,1891.5,1868.43,520.23,814.64,735.57,772.31,783.08,415.02,178.11,1729.59,447.77,591.37,969.02,1784.04,1595.09,1798.77,2465.5,2290.59,2465.43,396.63,591.99,734.26,1129.06,1053.69,1234.42,2101.93,1988.01,1470.86,1358.88,751.07,825.91,2152.0,2094.79,1220.67,818.08,946.22,597.27,950.85,1150.36,1121.95
617 Central Ave.,1234.94,2240.9,818.72,706.51,2114.77,1128.12,690.03,964.84,1282.26,1136.97,1033.94,1905.52,1299.46,1247.89,328.74,1019.55,525.49,1433.33,1496.78,1914.55,2042.44,1124.89,3356.8,2019.12,2149.04,1895.37,1805.15,886.65,333.5,906.2,2138.49,1308.43,1837.72,1387.37,754.1,775.3,819.53,1504.0,1077.32,1011.21,718.97,2671.32,2398.97,2323.57,766.36,1863.94,709.53,1888.78,2185.65,1703.76,1478.9,2395.88,317.18,1344.1,2109.21,1992.32,767.94,2241.9,2155.13,1469.03,2264.02,1097.11,1278.7,1213.61,1032.98,1949.03,1026.79,930.53,1205.12,1240.43,1487.89,960.01,1924.4,1173.8,833.96,550.22,598.31,1748.0,1521.86,1274.65,1885.49,2557.0,2465.54,2043.79,1678.19,914.74,1176.21,1253.41,1339.18,1534.07,1194.61,521.8,683.97,1055.36,1424.82,1555.83,1962.84,2128.98,1831.95,1853.59,1190.6,1275.42,3058.38,1828.16,1748.86,1217.7,1440.27,1306.36,1151.39,1275.12,1337.24,1393.95,1252.55,1416.11,2499.82,2258.94,1648.19,1163.85,727.26,867.07,1639.92,1496.27,1174.87,1246.11,2176.6,1977.63,2004.51,358.02,618.08,1978.55,958.95,1161.11,3355.27,3245.24,1472.17,1487.31,2752.77,2914.95,1507.48,1357.83,587.28,2698.81,3197.49,1932.9,1131.9,1218.06,1811.69,1815.55,1476.6,1566.49,969.92,1272.39,1004.8,1270.5,1311.0,1851.34,1828.28,555.33,860.29,746.98,807.41,835.36,351.49,322.71,1764.69,351.27,494.88,798.46,1819.14,1630.19,1833.87,2459.74,2284.82,2459.66,181.04,399.27,786.55,1173.01,1105.97,1286.7,2137.03,2023.11,1430.71,1318.72,710.91,729.41,2111.84,2054.63,1005.08,625.36,744.95,649.55,1003.14,1128.5,906.35
107 Watkins Street,1134.4,2406.43,790.69,490.21,2249.2,1303.97,719.92,1099.26,1416.68,920.67,1096.45,2132.57,1379.87,1382.31,555.79,803.28,698.92,1327.19,1631.2,2141.6,2176.86,1259.31,3471.19,1804.37,1954.48,2029.79,2032.19,1021.07,117.2,1040.62,1931.85,1442.85,1622.97,1521.79,981.15,559.03,603.26,1289.25,1211.74,1104.18,799.37,2517.06,2309.24,2458.0,780.84,1998.37,500.76,1682.15,2320.08,1487.46,1262.6,2622.92,544.23,1135.94,2243.63,2126.74,993.94,2468.95,2382.17,1252.76,2412.06,1231.54,1413.13,1013.32,955.64,2176.07,1253.84,1157.58,988.85,1447.65,1622.31,1040.42,2151.45,1347.23,617.66,333.95,771.74,1882.42,1305.56,1058.36,2112.54,2362.44,2258.91,2270.84,1905.23,1007.71,1349.64,1460.64,1546.41,1741.3,1108.64,504.28,705.76,1281.35,1208.55,1347.68,2097.26,2268.44,1966.37,1988.01,974.33,1059.13,2863.81,2035.39,1956.08,1424.92,1647.5,1522.02,936.64,1058.83,1120.97,1177.66,1037.8,1201.36,2305.25,2393.37,1782.61,1364.35,519.33,652.32,1847.14,1703.49,1401.92,1473.16,2311.03,2112.05,2231.55,585.07,845.13,2205.6,742.68,1315.02,3160.71,3081.68,1255.88,1271.02,2558.21,2720.39,1714.7,1565.05,760.72,2504.25,3002.93,2159.95,1224.86,1311.02,1946.11,2042.6,1683.82,1700.91,1104.34,1064.24,956.1,1404.92,1445.42,1985.76,1962.7,782.38,1086.59,972.98,1034.46,907.37,493.31,496.15,1991.74,301.49,575.28,589.69,2046.19,1857.24,2060.92,2265.17,2090.26,2265.1,161.88,184.52,959.98,1380.23,1279.41,1438.61,2364.08,2250.16,1565.13,1453.15,814.72,735.99,2246.27,2189.05,788.78,405.88,524.84,822.99,1176.57,946.33,690.06
885 Howard Ave.,1165.49,2579.62,829.82,443.17,2422.38,1477.15,774.73,1272.45,1589.87,818.84,1162.89,2267.64,1538.05,1555.5,690.86,686.97,777.55,1358.28,1804.39,2276.67,2350.04,1432.49,3354.87,1835.47,1838.16,2202.98,2167.26,1194.26,193.52,1213.81,1815.54,1616.04,1654.06,1694.98,1116.22,442.71,486.94,1320.34,1384.93,1140.58,957.15,2400.74,2192.93,2631.18,802.41,2171.55,460.56,1565.83,2493.26,1385.63,1160.76,2757.99,679.3,1019.63,2416.82,2299.93,1130.06,2604.01,2517.24,1136.45,2585.24,1404.72,1586.31,1044.42,986.73,2311.14,1388.91,1292.65,872.54,1582.72,1736.67,1213.6,2286.52,1482.3,515.83,217.63,906.81,2055.61,1258.53,972.53,2247.61,2246.12,2142.59,2405.91,2040.3,1062.52,1435.93,1595.71,1681.48,1876.37,992.33,513.96,760.58,1417.48,1092.23,1231.36,2270.45,2441.62,2139.56,2161.2,858.01,952.89,2747.5,2170.46,2091.15,1559.99,1782.57,1657.08,967.74,956.99,1004.66,1075.82,1068.9,1232.46,2188.94,2566.55,1955.8,1499.42,637.36,683.42,1982.21,1838.56,1536.98,1608.23,2484.21,2285.24,2366.62,720.14,980.2,2340.67,626.37,1488.2,3044.4,2965.37,1208.84,1169.18,2441.89,2604.08,1802.49,1700.12,895.37,2387.94,2886.61,2295.02,1279.68,1364.48,2119.3,2177.67,1818.89,1874.1,1277.53,947.92,858.93,1522.9,1618.61,2158.95,2135.88,917.45,1221.66,1109.1,1169.53,962.19,584.24,631.22,2126.81,474.68,748.47,544.02,2181.26,1992.31,2195.99,2148.86,1973.94,2148.78,260.14,306.52,1095.05,1515.3,1384.05,1493.43,2499.15,2385.23,1738.31,1626.33,987.91,894.52,2419.45,2362.24,713.0,362.65,481.61,958.06,1311.64,830.02,614.28
165 Bradford st.,1087.18,2312.36,696.95,600.47,2155.12,1209.9,765.58,1005.19,1322.61,1030.94,969.39,2118.81,1234.9,1288.24,542.02,961.47,709.99,1279.97,1537.13,2127.83,2082.79,1165.24,3541.3,1757.15,2112.66,1935.72,2018.43,927.0,305.42,936.15,2090.03,1348.78,1575.75,1427.72,967.39,690.48,761.44,1242.03,1117.67,1149.84,654.41,2675.24,2467.42,2363.93,826.5,1904.3,688.98,1840.33,2226.0,1567.38,1372.86,2574.75,523.65,1294.12,2149.56,2032.67,899.86,2455.18,2289.16,1410.94,2317.99,1137.47,1319.05,966.1,908.41,2157.66,1240.07,1143.82,1147.03,1453.71,1528.24,895.45,2137.68,1358.3,727.93,467.41,782.81,1788.35,1319.42,1072.21,2098.77,2520.61,2417.09,2257.07,1891.47,1053.37,1360.71,1466.7,1552.47,1747.36,1266.82,549.94,751.42,1187.28,1366.73,1505.86,2003.19,2174.36,1872.3,1893.94,1117.75,1169.39,3022.0,2041.45,1962.14,1430.98,1653.56,1519.65,889.42,1169.09,1279.15,1287.92,990.58,1154.14,2463.44,2299.29,1688.54,1375.42,472.1,605.1,1853.2,1709.55,1388.15,1459.39,2216.96,2017.98,2173.04,571.3,831.36,2191.83,900.86,1220.94,3318.89,3239.86,1269.73,1350.93,2716.39,2878.57,1720.76,1571.11,771.79,2662.43,3161.11,2085.15,1270.53,1356.69,1852.04,2028.83,1689.88,1606.84,1010.27,1222.42,1064.94,1264.81,1351.35,1891.69,1868.63,768.62,1073.57,878.91,1020.69,953.03,504.37,507.22,1977.98,153.41,430.32,777.91,2032.42,1843.47,2047.15,2423.35,2248.44,2423.28,207.54,194.82,971.05,1386.29,1290.48,1471.2,2350.31,2236.4,1471.06,1359.08,669.76,587.92,2152.2,2094.98,899.05,368.2,506.88,834.06,1187.64,1104.51,800.32
480 Sheffield Ave.,1097.63,2410.75,761.95,468.98,2253.52,1308.29,863.97,1103.58,1421.0,899.45,1084.53,2217.2,1384.19,1386.64,640.41,829.97,808.38,1290.42,1635.53,2226.23,2181.18,1263.63,3497.87,1767.6,1981.17,2034.11,2116.82,1025.39,248.25,1044.94,1958.54,1447.18,1586.2,1526.11,1065.78,558.98,629.95,1252.48,1216.06,1248.23,803.7,2543.75,2335.93,2462.32,924.89,2002.69,631.81,1708.84,2324.4,1466.23,1241.37,2673.14,622.04,1162.63,2247.96,2131.07,998.26,2553.57,2387.56,1279.45,2416.38,1235.86,1417.45,976.55,918.87,2256.05,1338.47,1242.21,1015.54,1552.1,1626.64,1044.74,2236.07,1456.69,596.43,335.92,881.2,1886.74,1249.82,1002.61,2197.17,2389.12,2285.6,2355.46,1989.86,1151.76,1459.1,1565.09,1650.86,1845.75,1135.33,648.33,849.82,1285.67,1235.23,1374.37,2101.58,2272.76,1970.69,1992.33,986.26,1037.9,2890.5,2139.84,2060.53,1529.37,1751.95,1618.04,899.87,1037.6,1147.66,1156.43,1001.03,1164.59,2331.94,2397.69,1786.93,1473.81,492.03,615.55,1951.59,1807.94,1486.54,1557.79,2315.35,2116.37,2271.44,669.69,929.76,2290.23,769.37,1319.34,3187.4,3108.37,1200.13,1249.79,2584.9,2747.08,1819.15,1669.5,870.18,2530.94,3029.61,2183.54,1368.92,1455.08,1950.44,2127.22,1788.27,1705.23,1108.67,1090.93,1001.93,1409.24,1449.74,1990.08,1967.02,867.01,1171.96,977.3,1119.08,1051.43,602.77,605.61,2076.37,305.81,579.6,687.02,2130.81,1941.86,2145.54,2291.86,2116.95,2291.79,305.93,22.16,1069.44,1484.68,1388.87,1569.6,2448.71,2334.79,1569.45,1457.47,819.04,740.32,2250.59,2193.37,767.55,298.6,417.56,932.45,1286.03,973.02,668.83
