,shift,station,vehicle,neighbor,value
147,9 AM to 6 PM,207 West 77th Street,ladders,MN11,1.0
148,9 AM to 6 PM,165 East 51 Street,ladders,MN32,1.0
149,9 AM to 6 PM,37-20 29th Street,ladders,QN71,1.0
150,9 AM to 6 PM,143-15 Rockaway Blvd.,ladders,QN98,1.0
151,9 AM to 6 PM,6405 Avenue N,ladders,BK25,1.0
152,9 AM to 6 PM,2929 W. 8th Street,ladders,BK28,1.0
153,9 AM to 6 PM,9219 5th Ave.,ladders,BK29,1.0
154,9 AM to 6 PM,81-17 Northern Blvd.,ladders,QN68,1.0
155,9 AM to 6 PM,165 Bradford st.,ladders,QN56,1.0
156,9 AM to 6 PM,103-17 98th Street,ladders,QN57,1.0
157,9 AM to 6 PM,22-63 35th St.,ladders,QN72,1.0
158,9 AM to 6 PM,2417 Webster Ave.,ladders,BX36,1.0
159,9 AM to 6 PM,392 Himrod Street,ladders,QN20,1.0
160,9 AM to 6 PM,86-53 Grand Avenue,ladders,QN21,1.0
161,9 AM to 6 PM,"42-06, 42-08 Astoria Blvd. South",ladders,QN27,1.0
162,9 AM to 6 PM,7219 Amboy Road,ladders,SI32,1.0
163,9 AM to 6 PM,2732 E. 11th Street,ladders,BK19,1.0
164,9 AM to 6 PM,74 Middagh Street,ladders,BK72,1.0
165,9 AM to 6 PM,25 Pitt Street,ladders,MN25,1.0
166,9 AM to 6 PM,1259 Morris Ave.,ladders,BX08,1.0
167,9 AM to 6 PM,3446 Eastchester Road,ladders,BX37,1.0
168,9 AM to 6 PM,925 East Tremont Ave.,ladders,BX46,1.0
169,9 AM to 6 PM,172 Tillary Street,ladders,BK38,1.0
170,9 AM to 6 PM,341 East 143 Street,ladders,BX27,1.0
171,9 AM to 6 PM,242 East 111 Street,ladders,BX63,1.0
172,9 AM to 6 PM,885 Howard Ave.,ladders,BK79,1.0
173,9 AM to 6 PM,850 Bedford Ave.,ladders,BK76,1.0
174,9 AM to 6 PM,2417 Webster Ave.,ladders,MN01,1.0
175,9 AM to 6 PM,40-18 Union Street,ladders,QN49,1.0
176,9 AM to 6 PM,89-40 87th Street,ladders,BK82,1.0
177,9 AM to 6 PM,998 Liberty Ave.,ladders,BK93,1.0
178,9 AM to 6 PM,205 Greenpoint Ave.,ladders,BK73,1.0
179,6 PM until 9 AM,8653 18th Ave.,engines,BX28,1.0
180,6 PM until 9 AM,8653 18th Ave.,engines,BK50,1.0
181,6 PM until 9 AM,2225 Belmont Ave.,engines,BX41,1.0
182,6 PM until 9 AM,86-53 Grand Avenue,engines,QN26,3.0
183,6 PM until 9 AM,101-02 Jamaica Avenue,engines,BK68,1.0
184,6 PM until 9 AM,8653 18th Ave.,engines,BX98,1.0
185,6 PM until 9 AM,782 Eighth Avenue,engines,QN07,2.0
186,6 PM until 9 AM,12-49 149th Street,engines,QN48,1.0
187,6 PM until 9 AM,26 Hooper Street,engines,BK77,1.0
188,6 PM until 9 AM,1336 60th Street,engines,BK41,1.0
189,6 PM until 9 AM,40-18 Union Street,engines,QN62,1.0
190,6 PM until 9 AM,1850 Clove Road,engines,SI08,1.0
191,6 PM until 9 AM,2924 Bruckner Blvd.,engines,BX10,1.0
192,6 PM until 9 AM,1781 Monroe Ave.,engines,BX33,1.0
193,6 PM until 9 AM,1352 Saint John's Place,engines,BK81,1.0
194,6 PM until 9 AM,159-06 Union Turnpike,engines,QN35,1.0
195,6 PM until 9 AM,885 Howard Ave.,engines,BK91,1.0
196,6 PM until 9 AM,5105 Snyder Ave.,engines,BK95,1.0
197,6 PM until 9 AM,117-11 196th Street,engines,QN66,1.0
198,6 PM until 9 AM,160 Carlton Ave.,engines,BK09,1.0
199,6 PM until 9 AM,3446 Eastchester Road,engines,BX43,1.0
200,6 PM until 9 AM,1155 Washington Ave.,engines,BX55,1.0
201,6 PM until 9 AM,788 Union Street,engines,BK63,1.0
202,6 PM until 9 AM,460 Cross Bronx Expressway,engines,BX06,1.0
203,6 PM until 9 AM,29 Vermilyea Avenue,engines,BX22,1.0
204,6 PM until 9 AM,755 East 233 Street,engines,BX03,1.0
205,6 PM until 9 AM,3446 Eastchester Road,engines,BX31,1.0
206,6 PM until 9 AM,515 West 181 Street,engines,BX30,1.0
207,6 PM until 9 AM,2929 W. 8th Street,engines,BX05,1.0
208,6 PM until 9 AM,64-04 Springfield Blvd.,engines,QN51,1.0
