,nta,engines,squads,ladders,ha,rescue,shift
29,QN08,4.131609671188096,0.13250517598343686,2.9031012579399675,0.017680034497628287,0.09464057847724373,1
30,QN12,2.42962066696385,0.07287784679089027,1.7174350123658881,0.01207416990081932,0.06380263717566992,1
31,QN15,4.395062514593814,0.19875776397515527,3.16516911908617,0.019836136265631736,0.10208421948107188,1
32,QN23,2.0741684179243878,0.11262939958592133,1.554596729711937,0.01207416990081932,0.059549128030625266,1
33,QN26,4.712878643146745,0.17556935817805383,3.1804352080849774,0.018542475204829666,0.13292216078264568,1
34,QN33,1.8692606508310514,0.05300207039337474,1.3714036617262424,0.004312203536006899,0.049978732454274775,1
35,QN35,3.286887855823728,0.1556935817805383,2.468017721473943,0.016817593790426907,0.06273925988940876,1
36,QN37,3.5127045787429156,0.11262939958592133,2.480739462306283,0.018111254851228976,0.0861335601871544,1
37,QN38,2.7892547071684817,0.14906832298136646,2.0634663630055337,0.01121172919361794,0.07124627817949808,1
38,QN44,1.881806024326562,0.06625258799171843,1.3688593135597744,0.01164294954721863,0.049978732454274775,1
39,QN48,1.5263537752871001,0.0761904761904762,1.175488852908208,0.00646830530401035,0.043598468736707786,1
40,QN52,2.3543484259907874,0.0927536231884058,1.6869028343682722,0.015092712376024149,0.0552956188855806,1
41,QN55,6.883228257870046,0.30144927536231886,4.844438908955038,0.03536006899525657,0.17439387494683115,1
42,QN62,1.710352586554586,0.08612836438923395,1.305250609398075,0.008193186718413108,0.04572522330923011,1
43,SI07,5.586872996667304,0.25507246376811593,3.961550095190648,0.029322984044846918,0.14674606550404085,1
44,SI22,14.117726973614385,0.5598343685300207,10.419105741686387,0.07330746011211729,0.36367503190131856,1
45,BK17,2.5383472372582734,0.02650103519668737,1.419746276889134,0.01078050884001725,0.01382390472139515,0
46,BK21,2.036532297437857,0.02650103519668737,1.302706261231607,0.01250539025442001,0.009570395576350489,0
47,BK26,1.6308985544163535,0.013250517598343685,0.9235983844278776,0.01250539025442001,0.014887282007656316,0
48,BK27,1.82326094801418,0.013250517598343685,1.1805775492411437,0.008624407072013798,0.009570395576350489,0
49,BK34,4.215245494491498,0.056314699792960665,2.709730797288401,0.032772746873652434,0.029774564015312633,0
50,BK58,3.95597444225095,0.033126293995859216,2.170328985997189,0.026735661923242778,0.017014036580178648,0
51,BK63,1.9863508034558153,0.03643892339544513,1.2314645125705033,0.016386373436826217,0.014887282007656316,0
52,BK88,6.6197754144643275,0.0629399585921325,3.8903083465295447,0.043122035360069,0.040408336877924285,0
53,BK90,1.977987221125475,0.01987577639751553,1.2060210309058235,0.01034928848641656,0.01382390472139515,0
54,BK96,3.320342185145089,0.03975155279503106,2.035478533174386,0.0215610176800345,0.022330923011484476,0
55,BX01,3.592158610881148,0.05300207039337474,2.137252459833105,0.02069857697283312,0.014887282007656316,0
56,BX09,5.938143454541595,0.06625258799171843,3.5900752628863226,0.046140577835273824,0.04572522330923011,0
57,BX26,3.9434290687554396,0.02650103519668737,2.567247299966194,0.028891763691246228,0.028711186729051468,0
58,BX40,3.186524867859645,0.03975155279503106,1.9337046065156664,0.017680034497628287,0.01382390472139515,0
59,BX49,3.194888450189985,0.02650103519668737,2.0889098446702135,0.02457956015523933,0.02339430029774564,0
60,BX59,2.517438281432423,0.02318840579710145,1.6054836930412968,0.017680034497628287,0.01595065929391748,0
61,BX62,0.2718164257360589,0.0,0.13993914915573902,0.00301854247520483,0.0010633772862611655,0
62,MN01,2.9439809802797767,0.033126293995859216,1.6614593527035924,0.017680034497628287,0.014887282007656316,0
63,MN03,7.339043494873591,0.08281573498964803,4.457697987651905,0.0513152220784821,0.054232241599319435,0
64,MN12,2.835254409985353,0.01987577639751553,1.6029393448748288,0.018542475204829666,0.017014036580178648,0
65,MN13,6.607230040968817,0.056314699792960665,3.7732683308720176,0.044415696420871065,0.04572522330923011,0
66,MN14,6.071960771827039,0.06625258799171843,3.546821344056367,0.041828374299266925,0.04678860059549128,0
67,MN15,4.24869982381286,0.0463768115942029,2.709730797288401,0.030185424752048298,0.0308379413015738,0
68,MN20,4.717060434311915,0.02981366459627329,2.8878351689411597,0.029754204398447608,0.022330923011484476,0
69,MN22,4.127427880022926,0.033126293995859216,2.350977705816416,0.02069857697283312,0.036154827732879626,0
70,MN23,6.059415398331529,0.0761904761904762,3.6485952707150866,0.048727899956877964,0.043598468736707786,0
71,MN24,4.123246088857755,0.0463768115942029,2.468017721473943,0.0258732212160414,0.03721820501914079,0
72,MN25,3.7050669723407417,0.02981366459627329,2.261925519990036,0.027598102630444158,0.022330923011484476,0
73,MN99,0.15890806427646523,0.0033126293995859213,0.08905218582637937,0.0017248814144027599,0.0,0
74,QN01,2.6387102252223564,0.02981366459627329,1.6843584862018042,0.016386373436826217,0.018077413866439813,0
75,QN07,1.2545373495510412,0.009937888198757764,0.7734818426062665,0.01078050884001725,0.005316886431305828,0
76,QN08,3.4457959201001933,0.043064182194616975,2.152518548831913,0.02285467874083657,0.02126754572522331,0
77,QN15,3.5127045787429156,0.049689440993788817,1.9540593918474103,0.018973695558430356,0.03190131858783496,0
78,QN26,3.2032520325203255,0.033126293995859216,2.0558333185061297,0.02371711944803795,0.014887282007656316,0
79,QN33,1.066356747118385,0.0033126293995859213,0.6920627012792911,0.007761966364812419,0.010633772862611655,0
80,QN37,1.246173767220701,0.02318840579710145,0.7505827091080548,0.007330746011211729,0.007443641003828158,0
81,QN38,2.253985438026704,0.01987577639751553,1.3332384392292225,0.02026735661923243,0.012760527435133985,0
82,QN44,1.371627502175805,0.016563146997929608,0.8320018504350302,0.00560586459680897,0.007443641003828158,0
83,QN48,1.2796280965420619,0.013250517598343685,0.8091027169368183,0.007330746011211729,0.009570395576350489,0
84,QN52,1.8023519921883293,0.02318840579710145,1.0940697115812323,0.009486847779215178,0.005316886431305828,0
85,QN55,4.87178670742321,0.03975155279503106,2.9488995249363916,0.02501078050884002,0.057422373458102936,0
86,QN62,1.250355558385871,0.013250517598343685,0.8447235912673701,0.009918068132815868,0.01169715014887282,0
87,SI07,4.290517735464562,0.0463768115942029,2.5545255591338543,0.038378611470461406,0.034028073160357296,0
88,SI22,10.157570740198263,0.0761904761904762,6.276906926676512,0.06597671410090557,0.06380263717566992,0
